timestamp,x,y,theta,state,left_vel,right_vel,obstacle_detected
0.032,0.6500,0.6500,0.0000,EXPLORE,0.000,0.000,0
0.064,0.6500,0.6500,0.0000,EXPLORE,0.000,0.000,0
0.096,0.6516,0.6500,0.4463,EXPLORE,0.057,0.100,0
0.128,0.6530,0.6507,-2.1494,EXPLORE,0.113,0.195,0
0.160,0.6521,0.6493,-1.4824,EXPLORE,0.176,0.295,0
0.192,0.6522,0.6477,-0.7909,EXPLORE,0.232,0.396,0
0.224,0.6533,0.6466,-0.1575,EXPLORE,0.289,0.490,0
0.256,0.6549,0.6463,0.4665,EXPLORE,0.345,0.590,0
0.288,0.6563,0.6470,0.8282,EXPLORE,0.402,0.685,0
0.320,0.6574,0.6482,1.1716,EXPLORE,0.465,0.785,0
0.352,0.6580,0.6497,1.5605,EXPLORE,0.521,0.885,0
0.384,0.6581,0.6513,1.8333,EXPLORE,0.578,0.980,0
0.416,0.6576,0.6528,2.1790,EXPLORE,0.634,1.080,0
0.448,0.6567,0.6541,2.5403,EXPLORE,0.697,1.174,0
0.480,0.6554,0.6551,2.6413,EXPLORE,0.754,1.275,0
0.512,0.6540,0.6558,2.5096,EXPLORE,0.810,1.375,0
0.544,0.6527,0.6568,2.7157,EXPLORE,0.873,1.470,0
0.576,0.6512,0.6574,2.7160,EXPLORE,0.929,1.570,0
0.608,0.6498,0.6581,2.5202,EXPLORE,0.986,1.664,0
0.640,0.6485,0.6590,2.3611,EXPLORE,1.042,1.765,0
0.672,0.6474,0.6601,1.9700,EXPLORE,1.105,1.859,0
0.704,0.6467,0.6616,1.6247,EXPLORE,1.162,1.959,0
0.736,0.6467,0.6632,1.2747,EXPLORE,1.218,2.054,0
0.768,0.6471,0.6648,0.8614,EXPLORE,1.281,2.154,0
0.800,0.6481,0.6659,0.4952,EXPLORE,1.338,2.248,0
0.832,0.6496,0.6667,0.0059,EXPLORE,1.394,2.349,0
0.864,0.6512,0.6667,-0.5158,EXPLORE,1.451,2.449,0
0.896,0.6526,0.6659,-1.0213,EXPLORE,1.513,2.543,0
0.928,0.6534,0.6646,-1.6042,EXPLORE,1.570,2.644,0
0.960,0.6534,0.6630,-2.5931,EXPLORE,1.627,2.738,0
0.992,0.6519,0.6621,2.8262,EXPLORE,1.689,2.839,0
1.024,0.6505,0.6626,1.9288,EXPLORE,1.746,2.933,0
1.056,0.6499,0.6641,1.0827,AVOID,1.802,3.033,1
1.088,0.6499,0.6641,0.6597,AVOID,1.802,3.033,0
1.120,0.6512,0.6651,0.5126,AVOID,1.884,3.109,0
1.152,0.6525,0.6659,0.5091,AVOID,1.959,3.184,0
1.184,0.6540,0.6667,0.4342,AVOID,2.041,3.266,0
1.216,0.6554,0.6673,0.2749,AVOID,2.116,3.341,0
1.248,0.6570,0.6678,0.1285,AVOID,2.198,3.423,0
1.280,0.6585,0.6680,-0.0167,AVOID,2.273,3.498,0
1.312,0.6601,0.6680,-0.1521,AVOID,2.349,3.580,0
1.344,0.6617,0.6677,-0.2794,AVOID,2.430,3.655,0
1.376,0.6632,0.6673,-0.3931,AVOID,2.506,3.730,0
1.408,0.6648,0.6666,-0.4932,AVOID,2.587,3.812,0
1.440,0.6661,0.6659,-0.5814,AVOID,2.663,3.887,0
1.472,0.6675,0.6650,-0.6565,AVOID,2.744,3.969,0
1.504,0.6687,0.6641,-0.7205,AVOID,2.820,4.044,0
1.536,0.6699,0.6630,-0.7742,AVOID,2.895,4.120,0
1.568,0.6711,0.6619,-0.8184,AVOID,2.977,4.201,0
1.600,0.6721,0.6607,-0.8547,AVOID,3.052,4.277,0
1.632,0.6732,0.6595,-0.8841,AVOID,3.134,4.358,0
1.664,0.6742,0.6583,-0.9078,AVOID,3.209,4.434,0
1.696,0.6753,0.6570,-0.9266,AVOID,3.291,4.515,0
1.728,0.6762,0.6557,-0.9415,AVOID,3.366,4.591,0
1.760,0.6771,0.6545,-0.9531,AVOID,3.441,4.666,0
1.792,0.6781,0.6531,-0.9622,AVOID,3.523,4.748,0
1.824,0.6789,0.6518,-0.9691,AVOID,3.598,4.823,0
1.856,0.6799,0.6505,-0.9745,AVOID,3.680,4.905,0
1.888,0.6808,0.6492,-0.9785,AVOID,3.755,4.980,0
1.920,0.6817,0.6479,-0.9797,AVOID,3.831,5.062,0
1.952,0.6826,0.6465,-0.9836,AVOID,3.912,5.137,0
1.984,0.6834,0.6452,-0.9852,AVOID,3.988,5.212,0
2.016,0.6843,0.6438,-0.9863,AVOID,4.069,5.294,0
2.048,0.6852,0.6425,-0.9871,AVOID,4.145,5.369,0
2.080,0.6861,0.6411,-0.9876,AVOID,4.226,5.451,0
2.112,0.6870,0.6399,-0.9879,AVOID,4.302,5.526,0
2.144,0.6878,0.6386,-0.9881,AVOID,4.377,5.602,0
2.176,0.6887,0.6372,-0.9882,AVOID,4.459,5.683,0
2.208,0.6896,0.6359,-0.9882,AVOID,4.534,5.759,0
2.240,0.6905,0.6345,-0.9882,AVOID,4.616,5.840,0
2.272,0.6914,0.6332,-0.9881,AVOID,4.691,5.916,0
2.304,0.6923,0.6318,-0.9881,AVOID,4.773,5.997,0
2.336,0.6931,0.6305,-0.9880,AVOID,4.848,6.073,0
2.368,0.6940,0.6292,-0.9880,AVOID,4.924,6.148,0
2.400,0.6949,0.6278,-0.9879,AVOID,5.005,6.230,0
2.432,0.6957,0.6265,-0.9879,AVOID,5.081,6.305,0
2.464,0.6967,0.6251,-0.9878,AVOID,5.162,6.387,0
2.496,0.6975,0.6238,-0.9878,AVOID,5.238,6.462,0
2.528,0.6984,0.6225,-0.9860,AVOID,5.313,6.544,0
2.560,0.6993,0.6212,-0.9877,AVOID,5.395,6.619,0
2.592,0.7001,0.6199,-0.9877,AVOID,5.470,6.694,0
2.624,0.7011,0.6185,-0.9877,AVOID,5.552,6.776,0
2.656,0.7019,0.6172,-0.9877,AVOID,5.627,6.851,0
2.688,0.7028,0.6158,-0.9877,AVOID,5.709,6.933,0
2.720,0.7037,0.6145,-0.9876,AVOID,5.784,7.008,0
2.752,0.7045,0.6132,-0.9876,AVOID,5.859,7.084,0
2.784,0.7055,0.6118,-0.9876,AVOID,5.941,7.165,0
2.816,0.7063,0.6105,-0.9876,AVOID,6.016,7.241,0
2.848,0.7072,0.6091,-0.9876,AVOID,6.098,7.322,0
2.880,0.7081,0.6078,-0.9876,AVOID,6.173,7.398,0
2.912,0.7090,0.6064,-0.9876,AVOID,6.255,7.479,0
